Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
CI/CD Glossary,Glossary for CI/CD terms.,Article (3rd Party Provider),2025-07-24 00:53 UTC,2025-07-24 00:53 UTC,false,N/A,
ISTQB Foundation Cert Prep,"Are you looking to move into the dynamic and exciting world of software testing? An International Software Testing Qualifications Board (ISTQB) certification can be one steppingstone on your journey. The ISTQB exams can be difficult to traverse without a solid understanding of the course material and the expectations of the exam board. In this course, instructor Michael Smith covers all these things. Michael explains key terminology that you will need to know for the ISTQB exams. After describing the principles, process, and psychology of testing, Michael goes into how software testing fits into the overall software development lifecycle (SDLC). He discusses static testing, a variety of test techniques, and helpful information on organizing, planning, monitoring, and managing your tests. Michael finishes up by showing you some test tool considerations and tips, as well as additional help in getting ready for the ISTQB Foundation exam.",Course,2022-08-09 14:09 UTC,N/A,false,N/A,
Querying Microsoft SQL Server 2022,"Want to learn more about how to query data from SQL Server tables? In this course, instructor Adam Wilbert covers how to retrieve information stored in a Microsoft SQL Server database using the Transact-SQL (T-SQL) language and the updated features of SQL Server 2022.<br><br>Learn the fundamental structure of a successful query, from ideation to execution. Find out how to manipulate data through the use of built-in functions, operators, filters, and other language features to return a data set, ensuring that it’s properly formatted and applicable to a wide variety of needs and perspectives. Along the way, Adam gives you tips and pointers on how to get the most out of your queries. Upon completing this course, you'll be equipped with the commands and keywords you need to know to analyze your data more effectively.",Course,2025-07-21 19:46 UTC,N/A,false,N/A,
Test Automation with Python: 1 Introduction to Automated Testing,"The <i>Test Automation with Python</i> series from Headspin University is designed to teach automation skills and tools for testing applications in Appium and Selenium, the world's most popular UI automation tools. But before getting into the automation itself, this first course delves into the concept of testing, from the etymology of the word, to how to design useful tests for your software. While using software as it is meant to be run seems like an obvious test, it’s also helpful and necessary to imagine conditions for the software that its developers might not have thought about. The history of automation is also covered, highlighting the fact that most software is in fact a form of automation. After this course, you’ll have a solid foundation of automated testing and be ready to move on to the next course in the series.
<br><br>
Note: This course was created by HeadSpin University. We are pleased to host this training in our library.",Course,2025-07-24 00:31 UTC,2025-07-24 00:27 UTC,false,N/A,
Enterprise Architecture in Practice,"Enterprise architecture (EA) is largely an art that's best taught by example. The alignment of technology and business strategies requires a nuanced understanding of how to manage people, processes, and the technical assets that power an organization. In this course, Dave Swersky focuses on the practical applications of EA as he steps through the technological transformation of a fictional company, Brick & Mortar. Throughout the course, Dave shows how an executive would assess the technology in use by Brick & Mortar, and then create and execute a plan to modernize. Learn how to build your EA team and produce roadmaps for strategic planning. Plus, discover what the day-to-day operations of an EA team looks like, as well as how to tackle common challenges.",Course,2026-04-20 12:25 UTC,N/A,false,N/A,
Leadership in Tech,"Erica Lockheimer successfully rose through the ranks at LinkedIn to become a VP of engineering. In this course, she interviews other leaders—all of whom inspired her own professional journey—about what it takes to carve out a lasting career in the lively, challenging world of tech. Erica chats with a variety of leaders in the tech space, including LinkedIn CEO Jeff Weiner and Tanya Staples, the VP of product, learning content at LinkedIn, about key aspects of their jobs. Along the way, she gleans insights on everything from cultivating awareness as a leader to maintaining a stable work and life balance.<br></br>Whether you're already a seasoned leader or you're just starting out, this course can equip you with the knowledge you need to lead with compassion and take your career to new heights.",Course,2019-09-11 21:37 UTC,N/A,false,N/A,
How to Speak Smarter When Put on the Spot,"<p>Public speaking can be nerve-wracking even with ample preparation time. An unexpected spotlight can further ramp up the heart-pounding, word-fumbling, and mind-blanking. In this audio-only course, Matt Abrahams shares six easy steps to improve spontaneous speaking.</p>

<p>Matt Abrahams teaches strategic communication at Stanford University and hosts a top podcast: Think Fast, Talk Smart. He is the author of two best-selling books on speaking: <i>Speaking Up without Freaking Out and Think Faster, Talk Smarter</i>.<p>

<p>Matt shares how you can listen deeply to better respond and connect with any audience. You’ll learn tactics to address anxiety–such as holding something cold. Matt shares why to “maximize your mediocrity” and offers a formula for great self-introductions. Finally, get expert strategies for recovering quickly when you draw a blank and approaches for “preparing to be spontaneous.”</p>
<p>This course was created by Pete Mockaitis of <a href=""https://awesomeatyourjob.com/"" target=""_blank""><i>How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.</p>
<img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%"" />",Course,2025-06-17 17:23 UTC,N/A,true,N/A,
API Test Automation with SoapUI,"With industry trends like cloud computing and the Internet of Things, there is a growing need for testers that know and understand API testing tools. One powerful and mature tool used by companies around the world is SoapUI. This course is designed to help you get started with SoapUI and covers the basics of how to use it. Instructor Dave Westerveld explains how to set up your first project, create new tests, perform load and security testing, test SOAP APIs, and make your tests more automated and efficient with scripting. Plus, learn how to integrate SoapUI with Docker-based build pipelines. The training is filled with examples featuring real-world, public APIs so you can see how SoapUI functions in real testing scenarios.",Course,2026-05-09 17:13 UTC,N/A,false,N/A,
"Advanced Playwright Techniques: Optimizing Speed, Stability, and Cloud Testing","This course dives deep into advanced Playwright testing strategies, and is designed to help experienced testers and developers optimize their test suites for speed, stability, and scalability. Learn how to streamline your tests, diagnose and fix bottlenecks, and apply resilient practices that make your testing robust against flakiness. Additionally, explore the power of visual testing using screenshots and snapshots, ensuring UI consistency with minimal resource usage. Finally, instructor Qambar Raza guides you through configuring and running tests on Microsoft Playwright Testing service, enabling you to scale tests effortlessly in the cloud. By the end, you’ll have a high-performing Playwright testing suite ready for modern application needs.",Course,2026-05-06 11:34 UTC,N/A,false,N/A,
Jira Administration: Automation,"Automation is the most fun part of Jira administration! It’s easy to build simple and complex rules so you can focus on more important admin tasks instead. In this course, instructor Rachel Wright shows you how to use automation to communicate and update information, effortlessly repeat frequent tasks, sync information between issues, perform routine maintenance, calculate values, and automatically send reminders and alerts. With Atlassian’s no-code engine and low-code apps you can accomplish work faster, with less clicks, and less human error.",Course,2026-03-31 17:30 UTC,N/A,false,N/A,
